"School","Pub.Priv","Year","Ave.Act","Range","Num","Pct"
"Missouri Western","Public",2007,19.6747809152872,"24.27",145,0.131818181818182
"Missouri Western","Public",2007,19.6747809152872,"19.23",376,0.341818181818182
"Missouri Western","Public",2007,19.6747809152872,"17.18",207,0.188181818181818
"Missouri Western","Public",2007,19.6747809152872,"01.16",250,0.227272727272727
"Missouri Western","Public",2007,19.6747809152872,"NA",73,0.066363636363636
"Missouri Western","Public",2007,19.6747809152872,"Tot",1100,1
"Northwest","Public",2007,22.1418873048201,"33.36",5,0.003248862897986
"Northwest","Public",2007,22.1418873048201,"28.32",125,0.081221572449643
"Northwest","Public",2007,22.1418873048201,"24.27",367,0.238466536712151
"Northwest","Public",2007,22.1418873048201,"19.23",753,0.489278752436647
"Northwest","Public",2007,22.1418873048201,"17.18",173,0.112410656270305
"Northwest","Public",2007,22.1418873048201,"01.16",50,0.032488628979857
"Northwest","Public",2007,22.1418873048201,"NA",66,0.042884990253411
"Northwest","Public",2007,22.1418873048201,"Tot",1539,1
"Southeast","Public",2007,22.3266033254157,"33.36",5,0.002770083102493
"Southeast","Public",2007,22.3266033254157,"28.32",182,0.100831024930748
"Southeast","Public",2007,22.3266033254157,"24.27",377,0.208864265927978
"Southeast","Public",2007,22.3266033254157,"19.23",837,0.463711911357341
"Southeast","Public",2007,22.3266033254157,"17.18",243,0.134626038781163
"Southeast","Public",2007,22.3266033254157,"01.16",40,0.022160664819945
"Southeast","Public",2007,22.3266033254157,"NA",121,0.067036011080332
"Southeast","Public",2007,22.3266033254157,"Tot",1805,1
"Truman","Public",2007,27.2224736048265,"33.36",100,0.071174377224199
"Truman","Public",2007,27.2224736048265,"28.32",519,0.369395017793594
"Truman","Public",2007,27.2224736048265,"24.27",504,0.358718861209964
"Truman","Public",2007,27.2224736048265,"19.23",196,0.139501779359431
"Truman","Public",2007,27.2224736048265,"17.18",6,0.004270462633452
"Truman","Public",2007,27.2224736048265,"01.16",1,0.000711743772242
"Truman","Public",2007,27.2224736048265,"NA",79,0.056227758007118
"Truman","Public",2007,27.2224736048265,"Tot",1405,1
"Ucm","Public",2007,22.2989547038328,"33.36",3,0.001930501930502
"Ucm","Public",2007,22.2989547038328,"28.32",109,0.07014157014157
"Ucm","Public",2007,22.2989547038328,"24.27",364,0.234234234234234
"Ucm","Public",2007,22.2989547038328,"19.23",775,0.498712998712999
"Ucm","Public",2007,22.2989547038328,"17.18",155,0.0997425997426
"Ucm","Public",2007,22.2989547038328,"01.16",29,0.018661518661519
"Ucm","Public",2007,22.2989547038328,"NA",119,0.076576576576577
"Ucm","Public",2007,22.2989547038328,"Tot",1554,1
"Umc","Public",2007,25.4,"33.36",122,0.02448815736652
"Umc","Public",2007,25.4,"28.32",1260,0.252910477719791
"Umc","Public",2007,25.4,"24.27",1823,0.365917302288238
"Umc","Public",2007,25.4,"19.23",1513,0.303693295865114
"Umc","Public",2007,25.4,"17.18",59,0.01184263348053
"Umc","Public",2007,25.4,"01.16",23,0.004616619831393
"Umc","Public",2007,25.4,"NA",182,0.036531513448414
"Umc","Public",2007,25.4,"Tot",4982,1
"Umkc","Public",2007,24.1,"33.36",18,0.018769551616267
"Umkc","Public",2007,24.1,"28.32",199,0.207507820646507
"Umkc","Public",2007,24.1,"24.27",257,0.267987486965589
"Umkc","Public",2007,24.1,"19.23",274,0.285714285714286
"Umkc","Public",2007,24.1,"17.18",68,0.070907194994786
"Umkc","Public",2007,24.1,"01.16",38,0.039624608967675
"Umkc","Public",2007,24.1,"NA",105,0.109489051094891
"Umkc","Public",2007,24.1,"Tot",959,1
"Umsl","Public",2007,22.7649572649573,"33.36",3,0.006024096385542
"Umsl","Public",2007,22.7649572649573,"28.32",48,0.096385542168675
"Umsl","Public",2007,22.7649572649573,"24.27",149,0.299196787148594
"Umsl","Public",2007,22.7649572649573,"19.23",215,0.431726907630522
"Umsl","Public",2007,22.7649572649573,"17.18",39,0.078313253012048
"Umsl","Public",2007,22.7649572649573,"01.16",14,0.028112449799197
"Umsl","Public",2007,22.7649572649573,"NA",30,0.060240963855422
"Umsl","Public",2007,22.7649572649573,"Tot",498,1
"Avila","Private",2007,22,"33.36",0,0
"Avila","Private",2007,22,"28.32",7,0.06140350877193
"Avila","Private",2007,22,"24.27",23,0.201754385964912
"Avila","Private",2007,22,"19.23",68,0.596491228070175
"Avila","Private",2007,22,"17.18",11,0.096491228070176
"Avila","Private",2007,22,"01.16",0,0
"Avila","Private",2007,22,"NA",5,0.043859649122807
"Avila","Private",2007,22,"Tot",114,1
"Central Methodist-Clas","Private",2007,21,"33.36",1,0.003703703703704
"Central Methodist-Clas","Private",2007,21,"28.32",9,0.033333333333333
"Central Methodist-Clas","Private",2007,21,"24.27",69,0.255555555555556
"Central Methodist-Clas","Private",2007,21,"19.23",119,0.440740740740741
"Central Methodist-Clas","Private",2007,21,"17.18",54,0.2
"Central Methodist-Clas","Private",2007,21,"01.16",12,0.044444444444445
"Central Methodist-Clas","Private",2007,21,"NA",6,0.022222222222222
"Central Methodist-Clas","Private",2007,21,"Tot",270,1
"College Of The Ozarks","Private",2007,22.4,"33.36",0,0
"College Of The Ozarks","Private",2007,22.4,"28.32",18,0.063604240282686
"College Of The Ozarks","Private",2007,22.4,"24.27",68,0.240282685512367
"College Of The Ozarks","Private",2007,22.4,"19.23",161,0.568904593639576
"College Of The Ozarks","Private",2007,22.4,"17.18",20,0.070671378091873
"College Of The Ozarks","Private",2007,22.4,"01.16",2,0.007067137809187
"College Of The Ozarks","Private",2007,22.4,"NA",14,0.049469964664311
"College Of The Ozarks","Private",2007,22.4,"Tot",283,1
"Columbia","Private",2007,22.3,"33.36",0,0
"Columbia","Private",2007,22.3,"28.32",16,0.076923076923077
"Columbia","Private",2007,22.3,"24.27",48,0.230769230769231
"Columbia","Private",2007,22.3,"19.23",84,0.403846153846154
"Columbia","Private",2007,22.3,"17.18",21,0.100961538461538
"Columbia","Private",2007,22.3,"01.16",6,0.028846153846154
"Columbia","Private",2007,22.3,"NA",33,0.158653846153846
"Columbia","Private",2007,22.3,"Tot",208,1
"Culver-Stockton","Private",2007,21.6,"33.36",2,0.009852216748768
"Culver-Stockton","Private",2007,21.6,"28.32",13,0.064039408866995
"Culver-Stockton","Private",2007,21.6,"24.27",39,0.192118226600985
"Culver-Stockton","Private",2007,21.6,"19.23",96,0.472906403940887
"Culver-Stockton","Private",2007,21.6,"17.18",50,0.246305418719212
"Culver-Stockton","Private",2007,21.6,"01.16",1,0.004926108374384
"Culver-Stockton","Private",2007,21.6,"NA",2,0.009852216748768
