,DriverNumber,LapNumber,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,StartPosition,EndPosition,Points,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,TotalTime,PitTime,TotalTimeWithPit,TotalTimeWithPitWoop
587,6,38,HARD,26.0,False,4,Williams,LAT,1,16.0,12.0,0.0,NA,NA,34.749,29.87,29.411,94.03,NA,NA,NA
637,14,38,HARD,28.0,False,4,Alpine,ALO,1,13.0,13.0,0.0,NA,NA,34.378,29.974,29.3,93.652,NA,NA,NA
686,22,38,HARD,17.0,False,4,AlphaTauri,TSU,1,8.0,14.0,0.0,NA,NA,33.959,29.650000000000002,29.205000000000002,92.81400000000001,NA,NA,NA
735,7,38,MEDIUM,17.0,False,4,Alfa Romeo Racing,RAI,1,12.0,15.0,0.0,NA,NA,34.415,29.663,29.433000000000003,93.51100000000001,NA,NA,NA
784,5,38,MEDIUM,23.0,False,3,Aston Martin,VET,1,17.0,16.0,0.0,NA,NA,34.757000000000005,30.072000000000003,29.360000000000003,94.18900000000001,NA,NA,NA
38,44,39,HARD,29.0,False,4,Mercedes,HAM,1,1.0,1.0,26.0,NA,NA,34.068000000000005,28.987000000000002,28.494000000000003,91.549,NA,NA,NA
88,33,39,MEDIUM,24.0,True,3,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,NA,33.698,29.227,28.631,91.556,NA,NA,NA
138,77,39,MEDIUM,24.0,False,4,Mercedes,BOT,1,2.0,3.0,15.0,NA,NA,35.553000000000004,29.461000000000002,29.873,94.88700000000001,NA,NA,NA
188,31,39,HARD,26.0,False,3,Alpine,OCO,1,9.0,4.0,12.0,NA,NA,33.763000000000005,29.545,29.218000000000004,92.52600000000001,NA,NA,NA
238,3,39,MEDIUM,26.0,False,3,McLaren,RIC,1,11.0,5.0,10.0,NA,NA,34.902,29.639000000000003,30.139000000000003,94.68,NA,NA,NA
288,10,39,HARD,26.0,False,3,AlphaTauri,GAS,1,6.0,6.0,8.0,NA,NA,34.082,29.656000000000002,29.027,92.765,NA,NA,NA
338,16,39,HARD,29.0,False,4,Ferrari,LEC,1,4.0,7.0,6.0,NA,NA,33.783,29.342000000000002,28.903000000000002,92.028,NA,NA,NA
388,55,39,MEDIUM,29.0,False,3,Ferrari,SAI,1,15.0,8.0,4.0,NA,NA,33.926,29.32,28.963,92.209,NA,NA,NA
438,99,39,HARD,26.0,False,3,Alfa Romeo Racing,GIO,1,10.0,9.0,2.0,NA,NA,35.348,29.76,29.21,94.31800000000001,NA,NA,NA
488,4,39,HARD,29.0,False,4,McLaren,NOR,1,7.0,10.0,1.0,NA,NA,33.793,29.427000000000003,29.085,92.305,NA,NA,NA
538,18,39,MEDIUM,24.0,False,4,Aston Martin,STR,1,18.0,11.0,0.0,NA,NA,34.564,29.906000000000002,29.180000000000003,93.65,NA,NA,NA
